order,family,genus,species,authority,collector,collection #,Organ,Stem Diameter cm,Height m,VDRAW-Vessel diameter micrometers,VDFinal-Vessel diameter interpreted,VG-vessels/group RAW,VG curated,VMM-Vessel density mmper2 RAW,VMM-FINAL,raw VEL-Vessel element Length micrometers,final VEL-Vessel element Length micrometers,VWTRAW-Vessel wall thickness draw micrometers,VWTFINAL-Vessel wall thickness draw micrometers,RAW.BAR#-perforation plate bar ,FINAL.BAR#-perforation plate bar ,Number perforations per plate,RAW.simple.scalariform,FINAL.simple.scalariform,FINAL.scalariform.not,vessels present/absent,raw V-V-vessel-vessel (intervascular) pit diam micrometers,final V-V-vessel-vessel (intervascular) pit diam micrometers,"ITEDRAW: ITE diameter micrometers-""ground"" Imperforate Tracheary Element diam","ITEDFINAL: ITE diameter micrometers-""ground"" Imperforate Tracheary Element diam",ITELRAW: ITE cell length-RAW micrometers,"ITELFINAL: ITE cell length-curated, micrometers",ITEWTRAW: ITE wall thick-DRAW micrometers,ITEWTFINAL: wall thick final micrometers,ITE type RAW,ITE.Final,# septum/fiber,AP/strand-Axial Parenchyma cells/strand,MRH-Multiseriate Ray Height.mm,MRW-multseriate Ray width cell#,URH-Uniseriate Ray Ht.mm,self/ non,DWT- Double wall thickness (um),quien,cite,id1,id2,,,,,,vwt/vd,dwt/vd
Asterales,Compositae,Vernonia,arborea,Buch.-Ham.,Krukoff,4146,stem,,,205.6,205.6,1.63,1.63,,,497,497,,,0,0,1,simple,simple,simple,present,4,4,40.2,40.2,877,877,2-3,2.5,libriform,libriform,absent,1-3,0.78,3.65,0.243,self,,Emilio,"Carlquist, S. (1964). Wood anatomy of Vernonieae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 5(4), 451-467.",Vernonia_arborea_Krukoff_4146_stem,Asterales_Compositae_Vernonia_arborea_Buch.-Ham._Krukoff_4146_stem,,,,,,0.00,0.00
Asterales,Compositae,Vernonia,arborea,Buch.-Ham.,Yw,31134,stem,,,166,166,1.1,1.1,,,398,398,,,0,0,1,simple,simple,simple,present,4,4,38.2,38.2,684,684,2-3,2.5,libriform,libriform,absent,1-3,0.68,5.2,0.16,self,,Emilio,"Carlquist, S. (1964). Wood anatomy of Vernonieae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 5(4), 451-467.",Vernonia_arborea_Yw_31134_stem,Asterales_Compositae_Vernonia_arborea_Buch.-Ham._Yw_31134_stem,,,,,,0.00,0.00
Asterales,Compositae,Centaurea,americana,L.,Carlquist,233,,,,37.9,37.9,1.81,1.81,,,189,189,,,0,0,1,simple,simple,simple,present,4,4,19,19,339,339,3,3,libriform,libriform,,,1.19,3.8,0.53,self,,Alí,"Carlquist, S. (1965). Wood anatomy of Cynareae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 6(1), 13-24.",Centaurea_americana_Carlquist_233_,Asterales_Compositae_Centaurea_americana_L._Carlquist_233_,,,,,,0.00,0.00
Asterales,Compositae,Centaurea,cineraria,L.,Anderson,1959,,,,47.6,47.6,2.01,2.01,,,133,133,,,0,0,1,simple,simple,simple,present,4,4,18.2,18.2,285,285,5,5,libriform,libriform,,,0.73,5.9,0.039,self,,Alí,"Carlquist, S. (1965). Wood anatomy of Cynareae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 6(1), 13-24.",Centaurea_cineraria_Anderson_1959_,Asterales_Compositae_Centaurea_cineraria_L._Anderson_1959_,,,,,,0.00,0.00
Asterales,Compositae,Centaurea,melitensis,L.,Carlquist,140,,,,37.5,37.5,1.93,1.93,,,158,158,,,0,0,1,simple,simple,simple,present,4,4,17.6,17.6,360,360,2,2,libriform,libriform,,,0.66,2.3,0.146,self,,Alí,"Carlquist, S. (1965). Wood anatomy of Cynareae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 6(1), 13-24.",Centaurea_melitensis_Carlquist_140_,Asterales_Compositae_Centaurea_melitensis_L._Carlquist_140_,,,,,,0.00,0.00
Asterales,Compositae,Centaurea,ragusina,L.,Anderson,1964,,,,34.1,34.1,4.21,4.21,,,144,144,,,0,0,1,simple,simple,simple,present,4,4,18.9,18.9,228,228,5,5,libriform,libriform,,,1.47,,0.087,self,,Alí,"Carlquist, S. (1965). Wood anatomy of Cynareae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 6(1), 13-24.",Centaurea_ragusina_Anderson_1964_,Asterales_Compositae_Centaurea_ragusina_L._Anderson_1964_,,,,,,0.00,0.00
Asterales,Compositae,Cirsium,subcoriaceum,Sch. Bip.,Iltis et al.,334,,,,77.3,77.3,1.81,1.81,,,221,221,,,0,0,1,simple,simple,simple,present,4,4,27.6,27.6,450,450,3,3,libriform,libriform,,,1.25,5.8,0.153,self,,Alí,"Carlquist, S. (1965). Wood anatomy of Cynareae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 6(1), 13-24.",Cirsium_subcoriaceum_Iltis et al._334_,Asterales_Compositae_Cirsium_subcoriaceum_Sch. Bip._Iltis et al._334_,,,,,,0.00,0.00
Asterales,Compositae,Ambrosia,acanthicarpa,Hook.,Carlquist,483,stem,,,39.4,39.4,2.91,2.91,,,230,230,,,0,0,1,simple,simple,simple,present,4,4,22.3,22.3,428,428,6-7,6.5,libriform,libriform,,2-3,0.65,2.7,,self,,Emilio,"Carlquist, S. (1966). Wood Anatomy of Anthemideae, Ambrosieae, Calenduleae, and Articotideae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 6(2), 1-23.",Ambrosia_acanthicarpa_Carlquist_483_stem,Asterales_Compositae_Ambrosia_acanthicarpa_Hook._Carlquist_483_stem,,,,,,0.00,0.00
Asterales,Compositae,Artemisia,arbuscula,Nutt.,Rumpel,s.n.,stem,,,26.3,26.3,1-inf,50,,,116,116,,,0,0,1,simple,simple,simple,present,4,4,15.8,15.8,245,245,4-5,4.5,libriform,libriform,,2,0.37,4.5,,self,,Emilio,"Carlquist, S. (1966). Wood Anatomy of Anthemideae, Ambrosieae, Calenduleae, and Articotideae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 6(2), 1-23.",Artemisia_arbuscula_Rumpel_s.n._stem,Asterales_Compositae_Artemisia_arbuscula_Nutt._Rumpel_s.n._stem,,,,,,0.00,0.00
Asterales,Compositae,Artemisia,californica,Less.,Carlquist,497,stem,,,43.2,43.2,3.65,3.65,,,107,107,,,0,0,1,simple,simple,simple,present,4,4,29.2,29.2,347,347,3-5,4,libriform,libriform,,2,0.32,4.5,0.59,self,,Emilio,"Carlquist, S. (1966). Wood Anatomy of Anthemideae, Ambrosieae, Calenduleae, and Articotideae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 6(2), 1-23.",Artemisia_californica_Carlquist_497_stem,Asterales_Compositae_Artemisia_californica_Less._Carlquist_497_stem,,,,,,0.00,0.00
Asterales,Compositae,Artemisia,tridentata,Nutt.,LASCA,55-S-2542,stem,,,49.4,49.4,3.26,3.26,,,206,206,,,0,0,1,simple,simple,simple,present,4,4,22.8,22.8,469,469,1-3,2,libriform,libriform,,2-3,0.35,2.4,0.139,self,,Emilio,"Carlquist, S. (1966). Wood Anatomy of Anthemideae, Ambrosieae, Calenduleae, and Articotideae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 6(2), 1-23.",Artemisia_tridentata_L.A.S.C.A_55-S-2542_stem,Asterales_Compositae_Artemisia_tridentata_Nutt._L.A.S.C.A_55-S-2542_stem,,,,,,0.00,0.00
Asterales,Compositae,Oxytenia,acerosa,Nutt.,H. Gerber,26,stem,,,66.1,66.1,inf,50,,,162,162,,,0,0,1,simple,simple,simple,present,4,4,13.5,13.5,253,253,4,4,libriform,libriform,,2-3,0.37,2.9,0.166,self,,Emilio,"Carlquist, S. (1966). Wood Anatomy of Anthemideae, Ambrosieae, Calenduleae, and Articotideae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 6(2), 1-23.",Oxytenia_acerosa_H. Gerber_26_stem,Asterales_Compositae_Oxytenia_acerosa_Nutt._H. Gerber_26_stem,,,,,,0.00,0.00
Asterales,Compositae,Xanthium,strumarium,L.,Carlquist,1812,stem,,,36.4,36.4,5.47,5.47,,,121,121,,,0,0,1,simple,simple,simple,present,4,4,24.8,24.8,294,294,3,3,libriform,libriform,,2-3,0.25,3.6,0.089,self,,Emilio,"Carlquist, S. (1966). Wood Anatomy of Anthemideae, Ambrosieae, Calenduleae, and Articotideae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 6(2), 1-23.",Xanthium_strumarium_Carlquist_1812_stem,Asterales_Compositae_Xanthium_strumarium_L._Carlquist_1812_stem,,,,,,0.00,0.00
Asterales,Goodeniaceae,Coopernookia,polygalacea,(de Vriese) Carolin,Carlquist,3475,,,,29,29,,,,,210,210,,,0,0,1,simple,simple,simple,present,4,4,17,17,370,370,5,5,tracheids,tracheids,,,1,4.2,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Coopernookia_polygalacea_Carlquist_3475_,Asterales_Goodeniaceae_Coopernookia_polygalacea_(de Vriese) Carolin_Carlquist_3475_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Dampiera,glabrescens,Benth.,Carlquist,3041,,,,34,34,,,,,248,248,,,0,0,1,simple,simple,simple,present,4,4,18,18,382,382,6,6,tracheids,tracheids,,,0.8,4.5,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Dampiera_glabrescens_Carlquist_3041_,Asterales_Goodeniaceae_Dampiera_glabrescens_Benth._Carlquist_3041_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Goodenia,decurrens,R. Br.,Carlquist,1308,,,,35,35,,,,,521,521,,,0,0,1,simple,simple,simple,present,4,4,24,24,648,648,4,4,tracheids,tracheids,,,1,7.7,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Goodenia_decurrens_Carlquist_1308_,Asterales_Goodeniaceae_Goodenia_decurrens_R. Br._Carlquist_1308_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Goodenia,scapigera,R. Br.,Carlquist,3489,,,,32,32,,,,,323,323,,,0,0,1,simple,simple,simple,present,4,4,19,19,476,476,5,5,tracheids and fiber tracheids,tracheids,,,1,3.5,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Goodenia_scapigera_Carlquist_3489_,Asterales_Goodeniaceae_Goodenia_scapigera_R. Br._Carlquist_3489_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Leschenaultia,splendens,Hook.,Carlquist,3437,,,,34,34,,,,,269,269,,,0,0,1,simple,simple,simple,present,4,4,19,19,386,386,4,4,tracheids,tracheids,,,0,0,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Leschenaultia_splendens_Carlquist_3437_,Asterales_Goodeniaceae_Leschenaultia_splendens_Hook._Carlquist_3437_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Scaevola,beckii,Zahlbr.,Carlquist,723,,,,33,33,,,,,561,561,,,0,0,1,simple,simple,simple,present,4,4,27,27,927,927,6,6,fiber tracheids,fiber tracheids,,,1,3.1,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Scaevola_beckii_Carlquist_723_,Asterales_Goodeniaceae_Scaevola_beckii_Zahlbr._Carlquist_723_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Scaevola,crassifolia,Labill.,Carlquist,1015,,,,64,64,,,,,302,302,,,0,0,1,simple,simple,simple,present,4,4,24,24,463,463,3,3,tracheids,tracheids,,,1.9,5.8,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Scaevola_crassifolia_Carlquist_1015_,Asterales_Goodeniaceae_Scaevola_crassifolia_Labill._Carlquist_1015_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Scaevola,crassifolia,Labill.,Carlquist,3764,,,,52,52,,,,,377,377,,,0,0,1,simple,simple,simple,present,4,4,20,20,557,557,3,3,tracheids,tracheids,,,0.6,3.2,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Scaevola_crassifolia_Carlquist_3764_,Asterales_Goodeniaceae_Scaevola_crassifolia_Labill._Carlquist_3764_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Scaevola,cylindrocarpa,K. Krause,Carlquist,2000,,,,91,91,,,,,388,388,,,0,0,1,simple,simple,simple,present,4,4,22,22,791,791,4,4,tracheids and fiber tracheids,tracheids,,,3.5,10.1,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Scaevola_cylindrocarpa_Carlquist_2000_,Asterales_Goodeniaceae_Scaevola_cylindrocarpa_K. Krause_Carlquist_2000_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Scaevola,gaudichaudii,Hook. & Arn.,Munro,74,,,,46,46,,,,,315,315,,,0,0,1,simple,simple,simple,present,4,4,27,27,466,466,6,6,fiber tracheids,fiber tracheids,,,1.1,3,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Scaevola_gaudichaudii_Munro_74_,Asterales_Goodeniaceae_Scaevola_gaudichaudii_Hook. & Arn._Munro_74_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Scaevola,holosericea,de Vriese,Carlquist,1027,,,,63,63,,,,,268,268,,,0,0,1,simple,simple,simple,present,4,4,24,24,404,404,3,3,fiber tracheids,fiber tracheids,,,1.5,7.4,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Scaevola_holosericea_Carlquist_1027_,Asterales_Goodeniaceae_Scaevola_holosericea_de Vriese_Carlquist_1027_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Scaevola,indigofera,Schltdl.,Carlquist,781,,,,73,73,,,,,456,456,,,0,0,1,simple,simple,simple,present,4,4,29,29,1005,1005,5,5,fiber tracheids,fiber tracheids,,,1.1,4,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Scaevola_indigofera_Carlquist_781_,Asterales_Goodeniaceae_Scaevola_indigofera_Schltdl._Carlquist_781_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Scaevola,kilaueae,O. Deg.,Carlquist,2050,,,,67,67,,,,,225,225,,,0,0,1,simple,simple,simple,present,4,4,23,23,550,550,5,5,tracheids,tracheids,,,2.7,7.8,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Scaevola_kilaueae_Carlquist_2050_,Asterales_Goodeniaceae_Scaevola_kilaueae_O. Deg._Carlquist_2050_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Scaevola,platyphylla,Lindl.,Carlquist,3586,,,,35,35,,,,,417,417,,,0,0,1,simple,simple,simple,present,4,4,18,18,559,559,5,5,tracheids and fiber tracheids,tracheids,,,10.5,8.2,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Scaevola_platyphylla_Carlquist_3586_,Asterales_Goodeniaceae_Scaevola_platyphylla_Lindl._Carlquist_3586_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Scaevola,plumieri,(L.) Vahl,W. G. Earle,s.n.,,,,101,101,,,,,376,376,,,0,0,1,simple,simple,simple,present,4,4,31,31,701,701,5,5,tracheids and fiber tracheids,tracheids,,,1.8,4.6,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Scaevola_plumieri_W. G. Earle_s.n._,Asterales_Goodeniaceae_Scaevola_plumieri_(L.) Vahl_W. G. Earle_s.n._,,,,,,0.00,0.00
Asterales,Goodeniaceae,Scaevola,porocarya,F. Muell.,Carlquist,2957,,,,43,43,,,,,428,428,,,0,0,1,simple,simple,simple,present,4,4,22,22,721,721,6,6,fiber tracheids,fiber tracheids,,,4.8,5.3,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Scaevola_porocarya_Carlquist_2957_,Asterales_Goodeniaceae_Scaevola_porocarya_F. Muell._Carlquist_2957_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Scaevola,sericophylla,F. Muell. ex Benth.,Carlquist,2986,,,,44,44,,,,,497,497,,,0,0,1,simple,simple,simple,present,4,4,15,15,652,652,4,4,tracheids and fiber tracheids,tracheids,,,0.8,3.5,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Scaevola_sericophylla_Carlquist_2986_,Asterales_Goodeniaceae_Scaevola_sericophylla_F. Muell. ex Benth._Carlquist_2986_,,,,,,0.00,0.00
Asterales,Goodeniaceae,Scaevola,tomentosa,Gaudich.,Carlquist,2954,,,,47,47,,,,,237,237,,,0,0,1,simple,simple,simple,present,4,4,20,20,535,535,6,6,tracheids and fiber tracheids,tracheids,,,1.8,9.9,,self,,Mark,"Carlquist, S. (1969). Wood anatomy of Goodeniaceae and the problem of insular woodiness. Annals of the Missouri Botanical Garden, 358-390.",Scaevola_tomentosa_Carlquist_2954_,Asterales_Goodeniaceae_Scaevola_tomentosa_Gaudich._Carlquist_2954_,,,,,,0.00,0.00
Asterales,Campanulaceae,Centropogon,tessmannii,E. Wimm.,Mexia,6229,stem,,,58,58,1.6,1.6,,,550,550,,,0,0,1,simple,simple,simple,present,4,4,24,24,712,712,3,3,libriform,libriform,present,2,6.2,,,self,,Emilio,"Carlquist, S. (1969). Wood anatomy of Lobelioideae (Campanulaceae). Biotropica, 47-72.",Centropogon_tessmannii_Mexia_6229_stem,Asterales_Campanulaceae_Centropogon_tessmannii_E. Wimm._Mexia_6229_stem,,,,,,0.00,0.00
Asterales,Campanulaceae,Cyanea,leptostegia,A. Gray,Carlquist,1961,stem,,,73,73,2.4,2.4,,,521,521,,,0,0,1,simple,simple,simple,present,4,4,31,31,868,868,5,5,libriform,libriform,present,3-4,6.9,7.9,,self,,Emilio,"Carlquist, S. (1969). Wood anatomy of Lobelioideae (Campanulaceae). Biotropica, 47-72.",Cyanea_leptostegia_Carlquist_1961_stem,Asterales_Campanulaceae_Cyanea_leptostegia_A. Gray_Carlquist_1961_stem,,,,,,0.00,0.00
Asterales,Campanulaceae,Lobelia,hypoleuca,Hillebr.,Carlquist,2350,stem,,,44,44,1.8,1.8,,,588,588,,,0,0,1,simple,simple,simple,present,4,4,24,24,875,875,3,3,libriform,libriform,present,2,5.1,5.1,,self,,Emilio,"Carlquist, S. (1969). Wood anatomy of Lobelioideae (Campanulaceae). Biotropica, 47-72.",Lobelia_hypoleuca_Carlquist_2350_stem,Asterales_Campanulaceae_Lobelia_hypoleuca_Hillebr._Carlquist_2350_stem,,,,,,0.00,0.00
Malphigiales,Euphorbiaceae,Euphorbia,atrococca,A.Heller,Stern & Carlquist,1284,stem,,,55,55,2.6,2.6,,,328,328,,,0,0,1,simple,simple,simple,present,4,4,16,16,481,481,3,,libriform,libriform,,2-4,0.33,2.4,,self,,Emilio,"Carlquist, S. (1970). Wood anatomy of Hawaiian, Macaronesian, and other species of Euphorbia. Bot. J. Linn. Soc, 63(Suppl 1), 181-193.",Euphorbia_atrococca_Stern & Carlquist_1284_stem,Malphigiales_Euphorbiaceae_Euphorbia_atrococca_A.Heller_Stern & Carlquist_1284_stem,,,,,,0.00,0.00
Malphigiales,Euphorbiaceae,Euphorbia,celastroides,Boiss.,Carlquist,2023,stem,,,42,42,3,3,,,282,282,,,0,0,1,simple,simple,simple,present,4,4,14,14,436,436,5,,libriform,libriform,,2-4,0.36,2.5,,self,,Emilio,"Carlquist, S. (1970). Wood anatomy of Hawaiian, Macaronesian, and other species of Euphorbia. Bot. J. Linn. Soc, 63(Suppl 1), 181-193.",Euphorbia_celastroides_Carlquist_2023_stem,Malphigiales_Euphorbiaceae_Euphorbia_celastroides_Boiss._Carlquist_2023_stem,,,,,,0.00,0.00
Malphigiales,Euphorbiaceae,Euphorbia,celastroides,Boiss.,Stern & Carlquist,1258,stem,,,38,38,2.3,2.3,,,313,313,,,0,0,1,simple,simple,simple,present,4,4,14,14,460,460,4,,libriform,libriform,,2-4,0.43,2.6,,self,,Emilio,"Carlquist, S. (1970). Wood anatomy of Hawaiian, Macaronesian, and other species of Euphorbia. Bot. J. Linn. Soc, 63(Suppl 1), 181-193.",Euphorbia_celastroides_Stern & Carlquist_1258_stem,Malphigiales_Euphorbiaceae_Euphorbia_celastroides_Boiss._Stern & Carlquist_1258_stem,,,,,,0.00,0.00
Malphigiales,Euphorbiaceae,Euphorbia,multiformis,Gaudich. ex Hook. & Arn.,Carlquist,2212,stem,,,45,45,3.3,3.3,,,314,314,,,0,0,1,simple,simple,simple,present,4,4,15,15,517,517,4,,libriform,libriform,,2-4,0.28,2,,self,,Emilio,"Carlquist, S. (1970). Wood anatomy of Hawaiian, Macaronesian, and other species of Euphorbia. Bot. J. Linn. Soc, 63(Suppl 1), 181-193.",Euphorbia_multiformis_Carlquist_2212_stem,Malphigiales_Euphorbiaceae_Euphorbia_multiformis_Gaudich. ex Hook. & Arn._Carlquist_2212_stem,,,,,,0.00,0.00
Solanales,Solanaceae,Espadaea,amoena,A.Rich.,SJRw,16611,stem,,,61,61,1.84,1.84,31,,505,505,4.6,4.6,0,0,1,simple,simple,simple,present,4,4,23,23,1562,1562,4.6,4.6,fiber tracheids,fiber tracheids,,"3-5, mostly 4",0.33,2.34,0.167,self,9.2,Emilio,"Carlquist, S. (1988). Wood anatomy and relationships of Duckeodendraceae and Goetzeaceae. IAWA journal, 9(1), 3-12.",Espadaea_amonea_SJRw_16611_stem,Solanales_Solanaceae_Espadaea_amonea_A.Rich._SJRw_16611_stem,,,,,,0.08,0.15
Solanales,Solanaceae,Henoonia,myrtifolia,Griseb.,SJRw,42624,stem,,,29,29,2.44,2.44,79,,370,370,3.4,3.4,0,0,1,simple,simple,simple,present,4,4,16,16,1051,1051,4.6,4.6,fiber tracheids,fiber tracheids,,"3-4, mostly 4",0.194,2.32,0.116,self,8,Emilio,"Carlquist, S. (1988). Wood anatomy and relationships of Duckeodendraceae and Goetzeaceae. IAWA journal, 9(1), 3-12.",Henoonia_myrtifolia_SJRw_42624_stem,Solanales_Solanaceae_Henoonia_myrtifolia_Griseb._SJRw_42624_stem,,,,,,0.12,0.28
Solanales,Montiniaceae,Montinia,caryophyllacea,Thunb.,Carlquist,4536,root,,,42,42,3.48,3.48,87,,262,262,3.5,3.5,0,0,1,simple,simple,simple,present,4,4,23,23,493,493,3.7,3.7,libriform,libriform,nonseptate,2,0.44,2.7,0.12,self,7.2,Emilio,"Carlquist, S. (1989). Wood anatomy and relationships of Montinia. Aliso: A Journal of Systematic and Evolutionary Botany, 12(2), 369-378.",Montinia_caryophyllacea_Carlquist_4536_root,Solanales_Montiniaceae_Montinia_caryophyllacea_Thunb._Carlquist_4536_root,,,,,,0.08,0.17
Solanales,Montiniaceae,Montinia,caryophyllacea,Thunb.,Carlquist,4631,basal_stem,,,42,42,1.92,1.92,83,,250,250,3.2,3.2,0,0,1,simple,simple,simple,present,4,4,25,25,476,476,4,4,libriform,libriform,nonseptate,2,0.443,3,0.175,self,7.2,Emilio,"Carlquist, S. (1989). Wood anatomy and relationships of Montinia. Aliso: A Journal of Systematic and Evolutionary Botany, 12(2), 369-378.",Montinia_caryophyllacea_Carlquist_4631_basal_stem,Solanales_Montiniaceae_Montinia_caryophyllacea_Thunb._Carlquist_4631_basal_stem,,,,,,0.08,0.17
Solanales,Solanaceae,Acnistus,arborescens,(L.) Schltdl.,Mexia,4001,,,,36,36,1.1,1.1,102,,454,454,3.2,3.2,0,0,1,simple,simple,simple,present,4,4,24,24,662,662,3.2,3.2,fiber tracheids,fiber tracheids,,1-5.0,0.488,,0.132,self,6.4,Beto,"Carlquist, S. (1992). Wood anatomy of Solanaceae: a survey. Allertonia, 279-326.",Acnistus_arborescens_Mexia_4001_,Solanales_Solanaceae_Acnistus_arborescens_(L.) Schltdl._Mexia_4001_,,,,,,0.09,0.18
Solanales,Solanaceae,Brunfelsia,nitida,Benth.,Carlquist,15875,,,,32,32,1.1,1.1,185,,359,359,2.3,2.3,0,0,1,simple,simple,simple,present,4,4,27,27,727,727,4.1,4.1,tracheids,tracheids,,1-5.0,0.295,,0.289,self,6.4,Beto,"Carlquist, S. (1992). Wood anatomy of Solanaceae: a survey. Allertonia, 279-326.",Brunfelsia_nitida_Carlquist_15875_,Solanales_Solanaceae_Brunfelsia_nitida_Benth._Carlquist_15875_,,,,,,0.07,0.20
Solanales,Solanaceae,Lycium,ameghinoi,Speg.,Donat,37,,,,15,15,inf,50,252,,164,164,2,2,0,0,1,simple,simple,simple,present,4,4,13,13,346,346,2.1,2.1,fiber tracheids,fiber tracheids,,1-5.0,0.131,,0.112,self,4.1,Beto,"Carlquist, S. (1992). Wood anatomy of Solanaceae: a survey. Allertonia, 279-326.",Grabowskia_ameghinoi_Donat_37_,Solanales_Solanaceae_Grabowskia_ameghinoi_(Speg.) Speg._Donat_37_,,,,,,0.13,0.27
Solanales,Solanaceae,Solanum,nigricans,M. Martens & Galeotti,"Nee & Taylor 28900 (Ny), Mexico",28900,,,,80,80,1.7,1.7,34,,364,364,3.1,3.1,0,0,1,simple,simple,simple,present,4,4,22,22,779,779,2.4,2.4,fiber tracheids,fiber tracheids,,1-5.0,0.258,,0.125,self,5.5,Beto,"Carlquist, S. (1992). Wood anatomy of Solanaceae: a survey. Allertonia, 279-326.","Solanum_nigricans_Nee & Taylor 28900 (Ny), Mexico_28900_","Solanales_Solanaceae_Solanum_nigricans_M. Martens & Galeotti_Nee & Taylor 28900 (Ny), Mexico_28900_",,,,,,0.04,0.07
Solanales,Solanaceae,Solanum,sandwichense,Dunal,PRFw,17376,,,,79,79,1,1,11,,227,227,2.7,2.7,0,0,1,simple,simple,simple,present,4,4,23,23,766,766,2.9,2.9,fiber tracheids,fiber tracheids,,1-5.0,0.378,,0.079,self,5.6,Beto,"Carlquist, S. (1992). Wood anatomy of Solanaceae: a survey. Allertonia, 279-326.",Solanum_sandwichense_PRFw_17376_,Solanales_Solanaceae_Solanum_sandwichense_Dunal_PRFw_17376_,,,,,,0.03,0.07
Piperales,Saururaceae,Anemopsis,californica,(Nutt.) Hook. & Arn.,Carlquist,8175,stem,,,48,48,,,,,163,163,2.8,2.8,0,0,1,simple,simple,simple,present,4,4,,,230,230,2,2,tracheids,tracheids,,0-2,1-2,20,,self,4.8,Emilio,"Carlquist, S. (1995). Wood and stem anatomy of Saururaceae with reference to ecology, phylogeny, and origin of the monocotyledons. IAWA Jour. 16:133-150. (with Karen Dauer and Stefanie Nishimura). [ PDF ]",Anemopsis_californica_Carlquist_8175_stem,Piperales_Saururaceae_Anemopsis_californica_(Nutt.) Hook. & Arn._Carlquist_8175_stem,,,,,,0.06,0.10
