order,family,genus,species,authority,collector,collection #,Organ,Stem Diameter cm,Height m,VDRAW-Vessel diameter micrometers,VDFinal-Vessel diameter interpreted,VG-vessels/group RAW,VG curated,VMM-Vessel density mmper2 RAW,VMM-FINAL,raw VEL-Vessel element Length micrometers,final VEL-Vessel element Length micrometers,VWTRAW-Vessel wall thickness draw micrometers,VWTFINAL-Vessel wall thickness draw micrometers,RAW.BAR#-perforation plate bar ,FINAL.BAR#-perforation plate bar ,Number perforations per plate,RAW.simple.scalariform,FINAL.simple.scalariform,FINAL.scalariform.not,vessels present/absent,raw V-V-vessel-vessel (intervascular) pit diam micrometers,final V-V-vessel-vessel (intervascular) pit diam micrometers,"ITEDRAW: ITE diameter micrometers-""ground"" Imperforate Tracheary Element diam","ITEDFINAL: ITE diameter micrometers-""ground"" Imperforate Tracheary Element diam",ITELRAW: ITE cell length-RAW micrometers,"ITELFINAL: ITE cell length-curated, micrometers",ITEWTRAW: ITE wall thick-DRAW micrometers,ITEWTFINAL: wall thick final micrometers,ITE type RAW,ITE.Final,# septum/fiber,AP/strand-Axial Parenchyma cells/strand,MRH-Multiseriate Ray Height.mm,MRW-multseriate Ray width cell#,URH-Uniseriate Ray Ht.mm,self/ non,DWT- Double wall thickness (um),quien,cite,id1,id2,,,,,,vwt/vd,dwt/vd
Brassicales,Capparaceae,Forchhammeria,pallida,Liebm.,Hansen,1425,stem,,,82,82,1,1,12,,202,202,,,0,0,1,simple,simple,simple,present,2,2,,,1240,1240,,,tracheids,tracheids,,2–5,1.966,,,self,,Beto,"Carlquist, S., Hansen, B. F., Iltis, H. H., Olson, M. E., & Geiger, D. L. (2013). Forchhammeria and Stixis (Brassicales): Stem and wood anatomical diversity, ecological and phylogenetic significance. Aliso: A Journal of Systematic and Evolutionary Botany, 31(2), 59-75.",Forchhammeria_pallida_Hansen_1425_stem,Brassicales_Capparaceae_Forchhammeria_pallida_Liebm._Hansen_1425_stem,,,,,,0.00,0.00
Brassicales,Capparaceae,Forchhammeria,pallida,Liebm.,Hansen,1453,stem,,,95,95,1,1,7,,208,208,,,0,0,1,simple,simple,simple,present,2,2,,,1406,1406,,,tracheids,tracheids,,2–5,1.838,,,self,,Beto,"Carlquist, S., Hansen, B. F., Iltis, H. H., Olson, M. E., & Geiger, D. L. (2013). Forchhammeria and Stixis (Brassicales): Stem and wood anatomical diversity, ecological and phylogenetic significance. Aliso: A Journal of Systematic and Evolutionary Botany, 31(2), 59-75.",Forchhammeria_pallida_Hansen_1453_stem,Brassicales_Capparaceae_Forchhammeria_pallida_Liebm._Hansen_1453_stem,,,,,,0.00,0.00
Brassicales,Capparaceae,Forchhammeria,pallida,Liebm.,Hansen,1591,stem,,,76,76,1,1,14,,191,191,,,0,0,1,simple,simple,simple,present,2,2,,,1028,1028,,,tracheids,tracheids,,2–5,1.289,,,self,,Beto,"Carlquist, S., Hansen, B. F., Iltis, H. H., Olson, M. E., & Geiger, D. L. (2013). Forchhammeria and Stixis (Brassicales): Stem and wood anatomical diversity, ecological and phylogenetic significance. Aliso: A Journal of Systematic and Evolutionary Botany, 31(2), 59-75.",Forchhammeria_pallida_Hansen_1591_stem,Brassicales_Capparaceae_Forchhammeria_pallida_Liebm._Hansen_1591_stem,,,,,,0.00,0.00
Brassicales,Capparaceae,Forchhammeria,trifoliata,Radlk. ex Millsp.,Hansen,1701,stem,,,77,77,1,1,5,no hay error de captura,222,222,,,0,0,1,simple,simple,simple,present,2,2,,,1686,1686,,,tracheids,tracheids,,2–5,4.999,,,self,,Beto,"Carlquist, S., Hansen, B. F., Iltis, H. H., Olson, M. E., & Geiger, D. L. (2013). Forchhammeria and Stixis (Brassicales): Stem and wood anatomical diversity, ecological and phylogenetic significance. Aliso: A Journal of Systematic and Evolutionary Botany, 31(2), 59-75.",Forchhammeria_trifoliata_Hansen_1701_stem,Brassicales_Capparaceae_Forchhammeria_trifoliata_Radlk. ex Millsp._Hansen_1701_stem,,,,,,0.00,0.00
Brassicales,Capparaceae,Forchhammeria,trifoliata,Radlk. ex Millsp.,Hansen,3002,stem,,,55,55,1,1,7,no hay error de captura,248,248,,,0,0,1,simple,simple,simple,present,2,2,,,1812,1812,,,tracheids,tracheids,,2–5,5.385,,,self,,Beto,"Carlquist, S., Hansen, B. F., Iltis, H. H., Olson, M. E., & Geiger, D. L. (2013). Forchhammeria and Stixis (Brassicales): Stem and wood anatomical diversity, ecological and phylogenetic significance. Aliso: A Journal of Systematic and Evolutionary Botany, 31(2), 59-75.",Forchhammeria_trifoliata_Hansen_3002_stem,Brassicales_Capparaceae_Forchhammeria_trifoliata_Radlk. ex Millsp._Hansen_3002_stem,,,,,,0.00,0.00
Brassicales,Capparaceae,Forchhammeria,watsonii,Rose,Hansen,1373,stem,,,66,66,1,1,10,,151,151,,,0,0,1,simple,simple,simple,present,2,2,,,711,711,,,tracheids,tracheids,,2–4,2.96,,,self,,Beto,"Carlquist, S., Hansen, B. F., Iltis, H. H., Olson, M. E., & Geiger, D. L. (2013). Forchhammeria and Stixis (Brassicales): Stem and wood anatomical diversity, ecological and phylogenetic significance. Aliso: A Journal of Systematic and Evolutionary Botany, 31(2), 59-75.",Forchhammeria_watsonii_Hansen_1373_stem,Brassicales_Capparaceae_Forchhammeria_watsonii_Rose_Hansen_1373_stem,,,,,,0.00,0.00
Asterales,Compositae,Herreranthus,rivalis,(Greenm.) B.Nord.,Yw,40048,,,,50.2,50.2,,,,,405,405,,,0,0,1,simple,simple,simple,present,2,2,36,36,734,734,7,7,libriform,libriform,,,1.06,2.6,118.8,self,,Beto,"Carlquist, S. (1962). Wood anatomy of Senecioneae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 5(2), 123-146.",Herreranthus_rivalis_Yw_40048_,Asterales_Compositae_Herreranthus_rivalis_(Greenm.) B.Nord._Yw_40048_,,,,,,0.00,0.00
Asterales,Compositae,Piptocoma,discolor,(Kunth) Pruski,Yw,18353,stem,,,83.7,83.7,1.41,1.41,,,255,255,,,10-20,0,1,"simple, some scalariform",simple and scalariform,simple,present,2,2,21.6,21.6,497,497,2-3,2.5,libriform,libriform,absent,1-3,0.18,2.48,0.068,self,,Emilio,"Carlquist, S. (1964). Wood anatomy of Vernonieae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 5(4), 451-467.",Piptocoma_discolor_Yw_18353_stem,Asterales_Compositae_Piptocoma_discolor_(Kunth) Pruski_Yw_18353_stem,,,,,,0.00,0.00
Asterales,Compositae,Piptocoma,hypochlora,(S.F Blake) Pruski,Williams,10348,stem,,,66.7,66.7,1.85,1.85,,,321,321,,,0,0,1,simple,simple,simple,present,2,2,15.7,15.7,654,654,3,3,libriform,libriform,absent,1-3,0.23,2.48,0.092,self,,Emilio,"Carlquist, S. (1964). Wood anatomy of Vernonieae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 5(4), 451-467.",Piptocoma_hypochlora_Williams_10348_stem,Asterales_Compositae_Piptocoma_hypochlora_(S.F Blake) Pruski_Williams_10348_stem,,,,,,0.00,0.00
Asterales,Compositae,Pollalesta,acuminata,(Kunth) Pruski,Pittier,14113,stem,,,63,63,2.12,2.12,,,253,253,,,10-20,0,1,"simple, some scalariform",simple and scalariform,simple,present,2,2,13.2,13.2,386,386,3,3,libriform,libriform,absent,1-3,0.16,2.6,0.059,self,,Emilio,"Carlquist, S. (1964). Wood anatomy of Vernonieae (Compositae). Aliso: A Journal of Systematic and Evolutionary Botany, 5(4), 451-467.",Pollalesta_acuminata_Pittier_14113_stem,Asterales_Compositae_Pollalesta_acuminata_(Kunth) Aristeg._Pittier_14113_stem,,,,,,0.00,0.00
